month,year,temperature,dewpoint,windspeed,Soilwater_L1,Soilwater_L2,Soilwater_L3,Soilwater_L4,Precipitation
11,2010,28.674,23.104,2.2016,0.26646,0.26182,0.25206,0.26328,104.86
12,2010,27.234,23.781,2.0187,0.3016,0.2969,0.2847,0.26574,235.58
1,2011,25.775,23.954,1.9864,0.3433,0.34052,0.33051,0.29845,433.14
2,2011,25.852,24.05,1.9486,0.35676,0.35655,0.35662,0.35459,559.26
3,2011,25.978,24.304,1.8727,0.3579,0.35777,0.35747,0.35955,551.15
4,2011,25.965,24.528,1.7745,0.36572,0.36572,0.36638,0.36694,402.58
5,2011,26.616,24.9,1.7665,0.35877,0.35871,0.35917,0.36356,326.75
6,2011,27.035,24.076,1.9929,0.32748,0.32718,0.32818,0.34274,98.744
7,2011,26.867,23.523,1.8927,0.32176,0.32159,0.32301,0.32665,153.31
8,2011,27.929,23.286,2.0728,0.28785,0.28758,0.29375,0.31116,184.2
9,2011,29.255,22.501,2.2889,0.24997,0.25185,0.26691,0.29081,97.274
10,2011,29.64,21.883,2.3207,0.22267,0.22381,0.24007,0.27185,239.3
11,2011,29.149,22.168,2.3215,0.24334,0.2408,0.24342,0.25981,164.8
12,2011,29.923,21.477,2.65,0.21709,0.21787,0.233,0.25054,141.54
1,2012,27.485,22.956,2.0683,0.26706,0.25704,0.23368,0.24339,380.6
2,2012,26.549,23.297,2.096,0.30377,0.29733,0.27838,0.24835,471.37
3,2012,26.234,24.13,2.2271,0.34166,0.33991,0.33399,0.3059,459.92
4,2012,26.94,24.543,2.1819,0.33714,0.33594,0.33414,0.32974,345.75
5,2012,27.329,24.05,2.227,0.32305,0.32291,0.32563,0.33375,228.45
6,2012,27.131,23.789,2.1344,0.30872,0.30724,0.3068,0.31547,120.39
7,2012,26.892,24.327,1.9268,0.33259,0.3316,0.32893,0.32249,120.56
8,2012,27.277,23.321,2.0522,0.30337,0.30271,0.30512,0.31761,61.441
9,2012,28.32,22.013,2.4741,0.2499,0.25197,0.27009,0.297,68.435
10,2012,29.649,21.068,2.5434,0.20588,0.20969,0.23772,0.27499,85.536
11,2012,29.815,21.118,2.4326,0.21182,0.21087,0.22919,0.25839,45.405
12,2012,27.974,22.671,2.3178,0.2585,0.25031,0.23437,0.24902,209.58
1,2013,26.395,24.069,2.3769,0.32757,0.32343,0.30735,0.26756,334.95
2,2013,26.246,24.051,2.3725,0.34441,0.34328,0.33941,0.32178,626.85
3,2013,26.561,24.571,2.3737,0.3525,0.35171,0.35012,0.3488,427.2
4,2013,26.497,24.65,2.0797,0.35712,0.35675,0.35601,0.35527,365.9
5,2013,26.672,24.392,2.0641,0.35471,0.35501,0.3569,0.36258,351.26
6,2013,27.006,23.927,2.0783,0.32589,0.32452,0.32349,0.33726,170.08
7,2013,26.365,23.658,1.9531,0.33625,0.33561,0.33476,0.33641,200.46
8,2013,27.651,24.079,2.0554,0.31168,0.31034,0.31064,0.32087,166.88
9,2013,27.962,23.956,2.4035,0.31015,0.31072,0.31525,0.31706,93.018
10,2013,28.708,23.059,2.6038,0.26442,0.26642,0.28112,0.29995,135.02
11,2013,28.15,23.071,2.3579,0.26993,0.26855,0.27275,0.28405,212.15
12,2013,28.444,22.847,2.5109,0.26315,0.26389,0.27296,0.27603,228.33
1,2014,26.869,23.231,2.3015,0.28924,0.28418,0.27702,0.27076,387.37
2,2014,26.026,24.338,2.119,0.35093,0.34878,0.34124,0.31318,558.34
3,2014,26.283,24.479,2.2459,0.35091,0.35027,0.34952,0.34917,519.29
4,2014,26.563,24.71,2.0252,0.35401,0.35328,0.35295,0.35274,422.23
5,2014,26.576,24.866,1.9166,0.36073,0.36061,0.36087,0.3624,274.79
6,2014,27.016,24.824,2.0066,0.35116,0.35091,0.35102,0.35468,212.76
7,2014,26.973,24.487,2.0585,0.34652,0.34653,0.34698,0.35027,172.66
8,2014,27.56,23.942,2.1317,0.31351,0.31368,0.31898,0.33343,119.55
9,2014,27.873,23.087,2.5205,0.27941,0.28057,0.28956,0.30738,116.9
10,2014,28.235,23.669,2.5016,0.28365,0.28186,0.28327,0.2916,183.28
11,2014,28.862,22.757,2.4947,0.25775,0.26073,0.27669,0.28139,44.426
12,2014,28.394,22.867,2.6142,0.26597,0.26684,0.27609,0.2737,229.41
1,2015,26.917,23.68,2.3017,0.30139,0.29733,0.28805,0.27369,397.46
2,2015,26.462,24.037,2.3371,0.32366,0.3199,0.3108,0.28862,419.55
3,2015,26.333,24.494,2.0629,0.34677,0.34513,0.34036,0.32271,497.97
4,2015,26.599,24.644,2.3053,0.34829,0.3475,0.34653,0.34692,439.06
5,2015,27.064,24.834,2.017,0.34697,0.3466,0.34667,0.34758,335.66
6,2015,27.173,24.59,2.1544,0.3354,0.33487,0.3351,0.34192,150.53
7,2015,27.247,24.172,2.1431,0.32136,0.32071,0.32207,0.33022,192.01
8,2015,28.373,23.467,2.1785,0.28435,0.28745,0.30067,0.31252,34.278
9,2015,28.951,22.769,2.5915,0.25461,0.2611,0.28287,0.29331,92.948
10,2015,29.255,22.86,2.7256,0.25178,0.25804,0.27974,0.28103,112.9
11,2015,29.513,22.559,2.8102,0.24738,0.25343,0.27348,0.27217,29.354
12,2015,28.695,23.5,2.8716,0.26544,0.26318,0.26629,0.26503,204.15
1,2016,27.307,24.647,2.618,0.30985,0.30458,0.28999,0.26721,260.62
2,2016,26.916,24.76,2.7263,0.33416,0.3318,0.32474,0.2982,413.24
3,2016,27.041,25.094,2.1897,0.346,0.34464,0.34219,0.33364,506.46
4,2016,27.415,25.366,2.2564,0.35026,0.34953,0.34919,0.34954,370.83
5,2016,27.738,25.059,1.9894,0.32872,0.32821,0.33115,0.3415,400.98
6,2016,27.711,24.195,1.9272,0.31279,0.31193,0.31219,0.32046,124.96
7,2016,27.632,23.868,1.9477,0.30397,0.3033,0.30514,0.30997,137.58
8,2016,28.707,23.07,2.2497,0.26915,0.27153,0.28586,0.29756,87.389
9,2016,28.659,22.987,2.3603,0.25921,0.25977,0.27113,0.28382,92.104
10,2016,28.946,22.839,2.3881,0.2474,0.24781,0.25912,0.27217,291.82
11,2016,29.068,23.174,2.4344,0.24502,0.24618,0.25808,0.26335,40.031
12,2016,27.697,23.592,2.2943,0.27539,0.2712,0.26783,0.25943,316.35
1,2017,26.2,24.39,2.1213,0.34251,0.34003,0.33106,0.29658,565.09
2,2017,26.121,24.287,2.02,0.35012,0.34905,0.34691,0.34179,554.38
3,2017,26.183,24.437,1.948,0.3517,0.35129,0.35158,0.35198,550.17
4,2017,26.788,24.824,2.0501,0.35349,0.35298,0.35309,0.3545,363.46
5,2017,27.413,24.916,2.0539,0.33903,0.33871,0.34019,0.34887,261.24
6,2017,27.572,24.723,1.9355,0.3352,0.33447,0.33374,0.33465,136.33
7,2017,27.541,23.418,1.9024,0.31747,0.31829,0.32377,0.33572,53.955
8,2017,28.502,23.58,2.08,0.27522,0.27681,0.28822,0.3079,140.29
9,2017,28.604,23.572,2.3288,0.27126,0.26966,0.27516,0.28974,96.581
10,2017,28.66,23.361,2.6919,0.25575,0.2556,0.26679,0.27781,208.5
11,2017,29.085,22.716,2.5717,0.24774,0.25107,0.26641,0.26837,25.042
12,2017,27.948,23.375,2.4586,0.27571,0.2742,0.27366,0.26308,264.86
